Dates,NEWS_SENTIMENT_DAILY_AVG,TWITTER_SENTIMENT_DAILY_AVG,PX_OPEN,sentiment_label
2021-05-31,0.0005,-0.0045,250.995,neutral
2021-06-01,0.0001,-0.0058,251.23,neutral
2021-06-02,-0.0006,-0.003,248.125,negative
2021-06-03,0.0008,0.0023,245.22,neutral
2021-06-04,-0.0007,0.0031,247.76,negative
2021-06-07,-0.0001,0.0069,249.98,neutral
2021-06-08,0.0026,0.0045,255.16,positive
2021-06-09,0.0005,0.0027,253.81,neutral
2021-06-10,-0.0017,-0.0014,254.29,negative
2021-06-11,0.001,0.0032,257.985,positive
2021-06-14,0.0001,0.0007,257.9,neutral
2021-06-15,-0.0003,0.0027,259.775,negative
2021-06-16,-0.0002,-0.0023,259.4,negative
2021-06-17,0.001,0.0011,256.065,positive
2021-06-18,0.0008,0.0024,259.63,neutral
2021-06-21,0.0005,0.0039,259.82,neutral
2021-06-22,0.0024,0.0176,262.72,positive
2021-06-23,0.0281,0.064,265.99,positive
2021-06-24,0.0056,0.0107,266.16,positive
2021-06-25,0.0004,0.0031,266.23,neutral
2021-06-28,-0.0035,-0.0223,266.185,negative
2021-06-29,0.0009,0.0099,268.865,positive
2021-06-30,0.0009,-0.0071,270.69,positive
2021-07-01,-0.0007,-0.0016,269.61,negative
2021-07-02,0.0004,-0.0031,272.82,neutral
2021-07-05,0.0036,-0.0037,272.82,positive
2021-07-06,-0.0005,0.0022,278.03,negative
2021-07-07,-0.0078,0.0204,279.4,negative
2021-07-08,0.0003,0.0113,276.9,neutral
2021-07-09,0.0001,0.0046,275.72,neutral
2021-07-12,0.0037,0.0048,279.157,positive
2021-07-13,0.0003,-0.0037,277.52,neutral
2021-07-14,0.001,0.0215,282.345,positive
2021-07-15,-0.0003,0.0023,282.0,negative
2021-07-16,0.0003,0.0034,282.07,neutral
2021-07-19,-0.004,-0.2038,278.9335,negative
2021-07-20,-0.0368,-0.1262,278.03,negative
2021-07-21,-0.0021,-0.0166,278.905,negative
2021-07-22,-0.0055,0.0205,283.84,negative
2021-07-23,0.0189,0.0428,287.37,positive
2021-07-26,0.0021,0.0061,289.0,positive
2021-07-27,0.007,0.0084,289.43,positive
2021-07-28,0.3244,0.1474,288.99,positive
2021-07-29,0.0898,0.056,286.235,positive
2021-07-30,-0.0012,0.0078,285.17,negative
2021-08-02,0.0164,0.0028,286.36,positive
2021-08-03,0.0012,0.0032,285.42,positive
2021-08-04,0.0002,0.0028,286.22,neutral
2021-08-05,0.0001,-0.0016,286.88,neutral
2021-08-06,0.0011,0.0071,288.505,positive
2021-08-09,0.0002,0.0033,289.75,neutral
2021-08-10,-0.0015,0.0041,288.8,negative
2021-08-11,0.0004,0.0044,287.21,neutral
2021-08-12,0.0004,0.0017,286.63,neutral
